"sample","latitude","longitude","date","time","site","location","successful.count","habitat.backwards.image.saved","fov.facing.up","fov.limited","fov.open","fov.total.points.annotated","broad.ascidians","broad.bryozoa","broad.consolidated","broad.hydroids","broad.macroalgae","broad.octocoral.black","broad.seagrasses","broad.sponges","broad.stony.corals","broad.true.anemones","broad.unconsolidated","broad.total.points.annotated"
"IO226",-34.06368897,114.8438721,20201015,14:32:00,"C.IO.4","South-west","Yes","Yes",0,2,38,40,0,0,3,0,18,0,0,1,0,0,9,31
"IO227",-33.99868897,114.7838721,20201019,06:37:00,"C.IO.42","South-west","Yes","Yes",0,3,37,40,0,0,1,0,14,0,0,2,0,0,12,29
"IO228",-34.00368897,114.7938721,20201019,06:46:00,"C.IO.42","South-west","Yes","Yes",0,2,38,40,0,4,6,0,15,0,1,7,2,0,0,35
"IO229",-33.99368897,114.7863721,20201019,06:31:00,"C.IO.42","South-west","Yes","Yes",0,3,36,39,0,0,6,0,18,0,0,3,0,0,7,34
"IO235",-34.06618897,114.9138721,20201016,12:49:00,"C.IO.2","South-west","Yes","Yes",0,0,20,20,0,0,4,0,3,0,0,1,0,0,10,18
"IO236",-34.08118897,114.9238721,20201016,12:22:00,"C.IO.1","South-west","Yes","Yes",0,0,40,40,0,1,12,0,10,0,0,5,0,0,5,33
"IO237",-34.08118897,114.9363721,20201016,12:15:00,"C.IO.1","South-west","Yes","No",0,0,20,20,0,0,0,0,0,0,0,0,0,0,14,14
"IO239",-34.09118897,114.9313721,20201016,12:05:00,"C.IO.1","South-west","Yes","Yes",0,1,39,40,0,0,0,0,0,0,0,0,0,0,13,13
"IO241",-33.99368897,114.7913721,20201019,06:26:00,"C.IO.42","South-west","Yes","Yes",0,24,16,40,0,0,1,0,24,0,0,2,0,0,0,27
"IO244",-34.00368897,114.9063721,20201019,11:35:00,"C.IO.47","South-west","Yes","Yes",0,3,32,35,0,0,5,0,13,0,0,2,0,0,3,23
"IO245",-34.00868897,114.9013721,20201019,11:30:00,"C.IO.47","South-west","Yes","Yes",20,0,20,40,0,3,4,0,7,0,2,1,2,0,1,20
"IO253",-34.01368897,114.7038721,20201123,12:15:00,"C.IO.49","South-west","Yes","No",0,3,17,20,0,0,0,0,0,0,0,1,0,0,16,17
"IO254",-34.01868897,114.6963721,20201029,08:51:00,"C.IO.49","South-west","No","Yes",0,2,38,40,0,2,0,3,0,0,0,1,0,0,30,36
"IO254",-34.01868897,114.6963721,20201123,12:10:00,"C.IO.49","South-west","Yes","Yes",0,2,38,40,0,2,0,3,0,0,0,1,0,0,30,36
"IO258",-33.96618897,114.9138721,20201019,12:05:00,"C.IO.20","South-west","Yes","Yes",0,0,20,20,0,2,9,0,9,0,0,0,0,0,0,20
"IO259",-33.96868897,114.9213721,20201019,12:00:00,"C.IO.20","South-west","Yes","Yes",0,2,35,37,0,2,7,0,8,0,0,12,0,0,2,31
"IO260",-33.97118897,114.9163721,20201019,11:55:00,"C.IO.20","South-west","Yes","Yes",0,2,36,38,0,0,5,0,14,0,5,8,0,0,3,35
"IO261",-33.97618897,114.9213721,20201019,11:46:00,"C.IO.20","South-west","Yes","Yes",0,3,37,40,0,3,6,0,2,0,0,9,0,0,2,22
"IO262",-34.01368897,114.8738721,20201019,09:46:00,"C.IO.19","South-west","Yes","Yes",0,3,37,40,0,0,0,0,29,0,0,0,0,0,6,35
"IO263",-34.00868897,114.8788721,20201019,09:52:00,"C.IO.19","South-west","Yes","Yes",0,3,37,40,1,0,3,0,15,0,12,2,0,0,2,35
"IO264",-34.01868897,114.8738721,20201019,09:31:00,"C.IO.19","South-west","Yes","Yes",0,4,29,33,0,0,10,1,0,0,1,1,0,0,18,31
"IO266",-34.02118897,114.7588721,20201015,08:06:00,"C.IO.23","South-west","Yes","Yes",0,1,39,40,0,0,0,0,0,0,0,0,0,0,27,27
"IO267",-34.02618897,114.7638721,20201015,08:11:00,"C.IO.23","South-west","Yes","Yes",0,0,20,20,0,4,1,2,0,0,0,0,0,0,6,13
"IO269",-33.98868897,114.8138721,20201019,07:18:00,"C.IO.22","South-west","Yes","Yes",0,4,36,40,0,0,0,0,23,0,0,5,0,0,1,29
"IO272",-34.00868897,114.8138721,20201019,06:56:00,"C.IO.21","South-west","Yes","Yes",0,0,20,20,0,3,4,0,11,0,0,1,0,0,1,20
