"campaignid","sample","longitude","latitude","depth","broad.seagrasses","date","id"
"2020-10_south-west_BOSS","J11",114.9231,-34.1178,39.7,65,"20201119","2020-10_south-west_BOSS.J11"
"2020-10_south-west_BOSS","J9",114.9161,-34.1195,44.1,10,"20201119","2020-10_south-west_BOSS.J9"
"2020-10_south-west_BOSS","J10",114.9187,-34.1173,38.7,29,"20201119","2020-10_south-west_BOSS.J10"
"2020-10_south-west_BOSS","J2",114.9288,-34.1253,44.4,54,"20201119","2020-10_south-west_BOSS.J2"
"2020-10_south-west_BOSS","J3",114.9259,-34.1269,44.4,36,"20201119","2020-10_south-west_BOSS.J3"
"2020-10_south-west_BOSS","J5",114.9158,-34.1315,42.7,3,"20201119","2020-10_south-west_BOSS.J5"
"2020-10_south-west_BOSS","J7",114.9102,-34.1348,43.3,38,"20201119","2020-10_south-west_BOSS.J7"
"2020-10_south-west_BOSS","J17",114.9208,-34.1321,40.6,47,"20201119","2020-10_south-west_BOSS.J17"
"2020-10_south-west_BOSS","J14",114.9255,-34.1284,41.7,1,"20201119","2020-10_south-west_BOSS.J14"
"2020-10_south-west_BOSS","J16",114.9065,-34.1262,41.2,3,"20201119","2020-10_south-west_BOSS.J16"
"2020-10_south-west_BOSS","J15",114.9103,-34.125,40.8,3,"20201119","2020-10_south-west_BOSS.J15"
"2020-10_south-west_BOSS","J13",114.9305,-34.1285,42.3,21,"20201119","2020-10_south-west_BOSS.J13"
"2020-10_south-west_BOSS","J18",114.9241,-34.1287,41.4,5,"20201119","2020-10_south-west_BOSS.J18"
"2020-10_south-west_BOSS","J24",114.8264,-34.1187,42.4,4,"20201119","2020-10_south-west_BOSS.J24"
"2020-10_south-west_BOSS","J26",114.8289,-34.1209,42.6,8,"20201119","2020-10_south-west_BOSS.J26"
"2020-10_south-west_BOSS","J25",114.8284,-34.1168,43,33,"20201119","2020-10_south-west_BOSS.J25"
"2020-10_south-west_BOSS","J32",114.8611,-34.1301,42.9,22,"20201119","2020-10_south-west_BOSS.J32"
"2020-10_south-west_BOSS","J30",114.8595,-34.1121,42.5,43,"20201119","2020-10_south-west_BOSS.J30"
"2020-10_south-west_BOSS","J28",114.8521,-34.1129,42.9,19,"20201119","2020-10_south-west_BOSS.J28"
"2020-10_south-west_BOSS","J29",114.8556,-34.1111,43.8,30,"20201119","2020-10_south-west_BOSS.J29"
"2020-10_south-west_BOSS","J31",114.8607,-34.116,43.4,37,"20201119","2020-10_south-west_BOSS.J31"
"2020-10_south-west_BOSS","J27",114.8329,-34.1218,43.5,6,"20201119","2020-10_south-west_BOSS.J27"
"2020-10_south-west_BOSS","J19",114.9278,-34.1225,45.9,5,"20201119","2020-10_south-west_BOSS.J19"
"2020-10_south-west_BOSS","J21",114.8174,-34.1282,48.2,7,"20201119","2020-10_south-west_BOSS.J21"
"2020-10_south-west_BOSS","J22",114.8196,-34.1263,49.6,1,"20201119","2020-10_south-west_BOSS.J22"
"2020-10_south-west_BOSS","J34",114.8661,-34.1313,49.6,5,"20201119","2020-10_south-west_BOSS.J34"
"2020-10_south-west_BOSS","J36",114.8783,-34.1305,49.3,4,"20201119","2020-10_south-west_BOSS.J36"
"2020-10_south-west_BOSS","J35",114.8693,-34.1348,52,3,"20201119","2020-10_south-west_BOSS.J35"
"2020-10_south-west_BOSS","J33",114.8627,-34.1331,51.3,5,"20201119","2020-10_south-west_BOSS.J33"
"2020-10_south-west_BOSS","J37",114.8789,-34.1264,49.3,1,"20201119","2020-10_south-west_BOSS.J37"
"2020-10_south-west_BOSS","J20",114.8202,-34.1302,48,8,"20201119","2020-10_south-west_BOSS.J20"
"2020-10_south-west_BOSS","122",114.8264,-34.1162,49.4,12,"20201119","2020-10_south-west_BOSS.122"
"2020-10_south-west_BOSS","126",114.8189,-34.1137,48.8,7,"20201119","2020-10_south-west_BOSS.126"
"2021-03_West-Coast_BOSS","99",114.916,-34.0555,47.2,1,"20210308","2021-03_West-Coast_BOSS.99"
"2021-03_West-Coast_BOSS","127",114.91,-34.0545,44,20,"20210308","2021-03_West-Coast_BOSS.127"
"2021-03_West-Coast_BOSS","43",114.909,-34.0521,45.5,9,"20210308","2021-03_West-Coast_BOSS.43"
"2021-03_West-Coast_BOSS","110",114.907,-34.0505,45,33,"20210308","2021-03_West-Coast_BOSS.110"
"2021-03_West-Coast_BOSS","139",114.898,-34.0616,44,3,"20210308","2021-03_West-Coast_BOSS.139"
"2021-03_West-Coast_BOSS","133",114.911,-34.075,44,19,"20210308","2021-03_West-Coast_BOSS.133"
"2021-03_West-Coast_BOSS","52",114.915,-34.0826,46.1,13,"20210308","2021-03_West-Coast_BOSS.52"
"2021-03_West-Coast_BOSS","47",114.926,-34.0832,45.1,18,"20210308","2021-03_West-Coast_BOSS.47"
"2021-03_West-Coast_BOSS","16",114.924,-34.0848,44.1,20,"20210308","2021-03_West-Coast_BOSS.16"
"2021-03_West-Coast_BOSS","38",114.917,-34.0904,45.4,19,"20210308","2021-03_West-Coast_BOSS.38"
"2021-03_West-Coast_BOSS","71",114.908,-34.0923,43.5,5,"20210308","2021-03_West-Coast_BOSS.71"
"2021-03_West-Coast_BOSS","92",114.918,-34.101,44.3,27,"20210308","2021-03_West-Coast_BOSS.92"
"2021-03_West-Coast_BOSS","28",114.923,-34.0995,47,14,"20210308","2021-03_West-Coast_BOSS.28"
"2021-03_West-Coast_BOSS","6",114.918,-34.1073,44.4,22,"20210308","2021-03_West-Coast_BOSS.6"
"2021-03_West-Coast_BOSS","149",114.931,-34.1135,45.1,7,"20210308","2021-03_West-Coast_BOSS.149"
"2021-03_West-Coast_BOSS","32",114.921,-34.1125,45.1,18,"20210308","2021-03_West-Coast_BOSS.32"
