"campaignid","sample","latitude","longitude","depth","depth.multibeam","slope","aspect","roughness","tpi","flowdir","detrended"
"2020-10_south-west_stereo-BRUVs","IO312",-34.05868897,114.7788721,61.2,62.5155296325684,0.0388182066380978,0.122407585382462,0.34496146440506,-0.0110633885487914,1,0.607216000556946
"2020-10_south-west_stereo-BRUVs","IO313",-34.09618897,114.7563721,108,105.474250793457,0.020100574940443,4.69585800170898,0.212352320551872,0.0320427864789963,16,-0.561267375946045
"2020-10_south-west_stereo-BRUVs","IO319",-34.09368897,114.7313721,124,123.514381408691,0.0117351999506354,3.2642560005188,0.173707202076912,-0.0418502502143383,4,-0.255840301513672
"2020-10_south-west_stereo-BRUVs","IO327",-34.02946667,114.7623833,65.4,68.0822677612305,0.0626635253429413,3.62614631652832,0.738942325115204,-0.0700967609882355,16,1.84452152252197
"2020-10_south-west_stereo-BRUVs","IO329",-34.06481667,114.7266333,121,119.754028320312,0.00909778289496899,2.71583080291748,0.100801154971123,0.0154979806393385,1,3.43991255760193
"2020-10_south-west_stereo-BRUVs","IO330",-34.08833333,114.7545,116,104.475830078125,0.0308287795633078,3.90981388092041,0.334849119186401,-0.0128930862993002,16,-1.0078661441803
"2020-10_south-west_stereo-BRUVs","IO331",-34.0984,114.75005,112,113.951141357422,0.00443462887778878,2.51235389709473,0.100793793797493,-0.0703336969017982,8,-1.53672111034393
"2020-10_south-west_stereo-BRUVs","IO332",-34.09718333,114.7344833,124,122.686325073242,0.0121352719143033,4.92943048477173,0.127494350075722,-0.0614568963646889,32,-0.219289839267731
"2020-10_south-west_stereo-BRUVs","IO333",-34.11301667,114.7251333,127,129.646667480469,0.0250718370079994,1.80177927017212,0.266453981399536,-0.0631539449095726,1,1.8761899471283
"2020-10_south-west_stereo-BRUVs","IO334",-34.06155,114.7753667,64,64.3121871948242,0.0103932656347752,4.89234781265259,0.121318489313126,-0.0428724735975266,16,2.56419444084167
"2020-10_south-west_stereo-BRUVs","IO335",-34.06686667,114.7939833,58,55.6530609130859,0.0187101755291224,1.86122357845306,0.183412149548531,0.0176261533051729,1,-0.32679095864296
"2020-10_south-west_stereo-BRUVs","IO336",-34.0924,114.8663667,43.2,43.8465003967285,0.0139455068856478,2.61396932601929,0.218288093805313,-0.0223465152084827,1,-1.1989198923111
"2020-10_south-west_stereo-BRUVs","IO339",-34.01461667,114.8785,41.1,43.1958847045898,0.120608262717724,2.66976475715637,1.08627915382385,-0.0573793612420559,1,-0.540106177330017
"2020-10_south-west_stereo-BRUVs","IO34",-34.06118897,114.8713721,41.3,41.6334991455078,0.0037939737085253,4.41403007507324,0.051752120256424,-0.00730139994993806,16,0.710711061954498
"2020-10_south-west_stereo-BRUVs","IO353",-34.05436667,114.8390667,44.1,45.7797164916992,0.00811530090868473,2.96181225776672,0.0995716899633408,0.00396050466224551,1,-1.13807332515717
"2020-10_south-west_stereo-BRUVs","IO354",-34.06605,114.84,45,45.2560234069824,0.0484213158488274,1.09929704666138,0.711502254009247,0.166377916932106,1,0.319853603839874
"2020-10_south-west_stereo-BRUVs","IO355",-34.05473333,114.9111,45,48.2121391296387,0.0124946748837829,2.10110330581665,0.123001247644424,0.0227356590330601,1,-1.16762435436249
"2020-10_south-west_stereo-BRUVs","IO356",-34.06956667,114.9184667,46.8,48.0400314331055,0.0629106312990189,3.18541526794434,0.650116205215454,-0.151162832975388,16,-2.40649914741516
"2020-10_south-west_stereo-BRUVs","IO357",-34.08496667,114.928,45.9,46.9443626403809,0.0270079486072063,3.51379728317261,0.293936163187027,-0.0441990569233894,16,-1.29723262786865
