"campaignid","sample","method","distance.to.ramp"
"2020-10_south-west_BOSS","64","BOSS","114.8964"
"2020-10_south-west_BOSS","C01","BOSS","114.8891"
"2020-10_south-west_BOSS","65","BOSS","114.8889"
"2020-10_south-west_BOSS","272","BOSS","114.8139"
"2020-10_south-west_BOSS","337","BOSS","114.8202"
"2020-10_south-west_BOSS","273","BOSS","114.8214"
"2020-10_south-west_BOSS","328","BOSS","114.8214"
"2020-10_south-west_BOSS","269","BOSS","114.8139"
"2020-10_south-west_BOSS","145","BOSS","114.8239"
"2020-10_south-west_BOSS","147","BOSS","114.8314"
"2020-10_south-west_BOSS","158","BOSS","114.8189"
"2020-10_south-west_BOSS","146","BOSS","114.8214"
"2020-10_south-west_BOSS","157","BOSS","114.8239"
"2020-10_south-west_BOSS","OMR1","BOSS","114.9582"
"2020-10_south-west_BOSS","OMR2","BOSS","114.9551"
"2020-10_south-west_BOSS","OMR3","BOSS","114.9543"
"2020-10_south-west_BOSS","OMR4","BOSS","114.9529"
"2020-10_south-west_BOSS","216","BOSS","114.9164"
"2020-10_south-west_BOSS","235","BOSS","114.9364"
"2020-10_south-west_BOSS","217","BOSS","114.9139"
"2020-10_south-west_BOSS","215","BOSS","114.9189"
"2020-10_south-west_BOSS","356","BOSS","114.9264"
"2020-10_south-west_BOSS","218","BOSS","114.9185"
"2020-10_south-west_BOSS","102","BOSS","114.9214"
"2020-10_south-west_BOSS","100","BOSS","114.9114"
"2020-10_south-west_BOSS","119","BOSS","114.9089"
"2020-10_south-west_BOSS","101","BOSS","114.9039"
"2020-10_south-west_BOSS","236","BOSS","114.8964"
"2020-10_south-west_BOSS","237","BOSS","114.9239"
"2020-10_south-west_BOSS","C02","BOSS","114.9364"
"2020-10_south-west_BOSS","235REDO","BOSS","114.9279"
"2020-10_south-west_BOSS","239","BOSS","114.9364"
"2020-10_south-west_BOSS","91","BOSS","114.9314"
"2020-10_south-west_BOSS","80","BOSS","114.8939"
"2020-10_south-west_BOSS","81","BOSS","114.8889"
"2020-10_south-west_BOSS","92","BOSS","114.8914"
"2020-10_south-west_BOSS","210","BOSS","114.8864"
"2020-10_south-west_BOSS","336","BOSS","114.8739"
"2020-10_south-west_BOSS","195","BOSS","114.8664"
"2020-10_south-west_BOSS","199","BOSS","114.8589"
"2020-10_south-west_BOSS","16","BOSS","114.8614"
"2020-10_south-west_BOSS","17","BOSS","114.8689"
"2020-10_south-west_BOSS","34","BOSS","114.8764"
"2020-10_south-west_BOSS","15","BOSS","114.8714"
"2020-10_south-west_BOSS","223","BOSS","114.8664"
"2020-10_south-west_BOSS","225","BOSS","114.8464"
"2020-10_south-west_BOSS","222","BOSS","114.8339"
"2020-10_south-west_BOSS","C03.1","BOSS","114.8314"
"2020-10_south-west_BOSS","C03.2","BOSS","114.8398"
"2020-10_south-west_BOSS","226","BOSS","114.8398"
"2020-10_south-west_BOSS","224","BOSS","114.8439"
"2020-10_south-west_BOSS","220","BOSS","114.8389"
"2020-10_south-west_BOSS","353","BOSS","114.8439"
"2020-10_south-west_BOSS","201","BOSS","114.8391"
"2020-10_south-west_BOSS","72","BOSS","114.8339"
"2020-10_south-west_BOSS","75","BOSS","114.8464"
"2020-10_south-west_BOSS","74","BOSS","114.8539"
"2020-10_south-west_BOSS","73","BOSS","114.8514"
