"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","depth.y","roughness","tpi","detrended","cumsum.wi"
"broad.sponges.detrended+roughness+tpi","detrended+roughness+tpi",248.775693147542,281.354535106596,0.03873,NA,6.7,0,7.852,33.232,0.004,0,0,1,1,1,1.001
"broad.unconsolidated.depth.y+detrended","depth.y+detrended",1204.59502255319,1224.63274951948,0.25555,NA,4.12,0,0,1.578,0.355,0.276,1,0,0,1,0.355
"broad.unconsolidated.depth.y+detrended+tpi","depth.y+detrended+tpi",1205.22327167917,1229.82319304637,0.25569,NA,5.05,0,0.628,6.769,0.259,0.021,1,0,1,1,0.614
"broad.unconsolidated.depth.y+detrended+roughness","depth.y+detrended+roughness",1205.91495536732,1230.39098005474,0.25524,NA,5.03,0,1.32,7.337,0.183,0.016,1,1,0,1,0.797
"broad.unconsolidated.depth.y","depth.y",1207.62123383974,1223.05440269632,0.23577,NA,3.17,0,3.026,0,0.078,0.608,1,0,0,0,0.875
"broad.unconsolidated.depth.y+tpi","depth.y+tpi",1207.66457083409,1227.90074899186,0.23646,NA,4.16,0,3.07,4.846,0.076,0.054,1,0,1,0,0.951
"broad.unconsolidated.depth.y+roughness","depth.y+roughness",1209.92965075901,1229.54983334157,0.23886,NA,4.03,0,5.335,6.495,0.025,0.024,1,1,0,0,0.976
"broad.unconsolidated.depth.y+roughness+tpi","depth.y+roughness+tpi",1210.00669922072,1234.37995837307,0.23932,NA,5.01,0,5.412,11.326,0.024,0.002,1,1,1,0,1
"broad.unconsolidated.detrended+roughness+tpi","detrended+roughness+tpi",1363.81280254342,1419.68147865234,0.08113,NA,11.51,0,159.218,196.627,0,0,0,1,1,1,1
"broad.unconsolidated.detrended+roughness","detrended+roughness",1370.45972610303,1408.36186895629,0.065,NA,7.8,0,165.865,185.307,0,0,0,1,0,1,1
"broad.unconsolidated.roughness+tpi","roughness+tpi",1380.65702255529,1418.65389919531,0.03761,NA,7.82,0,176.062,195.599,0,0,0,1,1,0,1
"broad.unconsolidated.roughness","roughness",1385.30124491282,1404.55692589455,0.02768,NA,3.95,0,180.706,181.503,0,0,0,1,0,0,1
"broad.invertebrate.complex.null","null",70.0481144862414,74.9233465793616,0,NA,1,0,0,0,0.468,0.957,0,0,0,0,0.468
"broad.invertebrate.complex.tpi","tpi",72.335583671659,82.3148248776404,0.00046,NA,2.05,0,2.287,7.391,0.149,0.024,0,0,1,0,0.617
"broad.invertebrate.complex.detrended","detrended",73.1269149236114,82.8759731481104,0.02106,NA,2,0,3.079,7.953,0.1,0.018,0,0,0,1,0.717
"broad.invertebrate.complex.depth.y","depth.y",74.1249556315305,93.052671703121,0.09057,NA,3.89,0,4.077,18.129,0.061,0,1,0,0,0,0.778
"broad.invertebrate.complex.roughness","roughness",74.8523881369195,88.7807552518342,0.06081,NA,2.86,0,4.804,13.857,0.042,0.001,0,1,0,0,0.82
"broad.invertebrate.complex.detrended+tpi","detrended+tpi",75.0982773196535,89.7124820410419,0.02119,NA,3,0,5.05,14.789,0.037,0.001,0,0,1,1,0.857
