X,Y,class,BRUVid,BRUV,BRUV.date,BOSS,BOSS.date,ObjectId,GlobalID,x2,y2
114.9288721,-34.13118897,MBH,89,,,,,91,8f6ae754-e00e-4fff-970b-fd33868d5743,114.9288721,-34.13118897
114.9238721,-34.12368897,MBH,90,,,,,92,0797f1db-e478-44c0-8343-2ab8f4db2a4c,114.9238721,-34.12368897
114.8938721,-34.09368897,MBH,91,Y,16/10/2020,Y,31/10/2020,93,1be0ab8b-9e17-4472-b991-91f5de6e3aac,114.8938721,-34.09368897
114.8863721,-34.09868897,MBH,92,Y,16/10/2020,Y,31/10/2020,94,aac7dfdc-7a75-4ea8-8a4a-250b4d8e88b7,114.8863721,-34.09868897
114.8913721,-34.10368897,MBH,93,,,,,95,029d59df-eb65-4a94-aa93-4c2efd446510,114.8913721,-34.10368897
114.8813721,-34.09618897,MBH,94,Y,,,,96,8e452412-7994-4e74-b92c-a04ed89a9b7f,114.8813721,-34.09618897
114.7338721,-34.12618897,MBH,95,Y,22/10/2020,Y,4/11/2020,97,447dfc0a-ea64-421f-b33c-0e823bb2f25d,114.7338721,-34.12618897
114.7363721,-34.13618897,MBH,96,Y,22/10/2020,Y,4/11/2020,98,3003feb8-ffe1-43f8-92c0-fb3fc40ef682,114.7363721,-34.13618897
114.7288721,-34.12868897,MBH,97,,,,,99,ddfee1e3-87e9-4ae6-816b-2fe8082eef50,114.7288721,-34.12868897
114.7313721,-34.13368897,MBH,98,Y,22/10/2020,Y,4/11/2020,100,fe6d8beb-fba2-4eab-8b09-4512d39b456c,114.7313721,-34.13368897
114.9063721,-34.06618897,MBH,99,,,,,101,90afd5b7-2919-44b9-b2f6-f81c71cf44df,114.9063721,-34.06618897
114.9088721,-34.07618897,MBH,100,Y,29/10/2020,Y,31/10/2020,102,07dfdc5f-cbe4-421b-8464-660d287f8e11,114.9088721,-34.07618897
114.8963721,-34.07868897,MBH,101,Y,29/10/2020,Y,31/10/2020,103,2d833d39-4dd1-4807-8f71-2da1fe90b9b2,114.8963721,-34.07868897
114.9113721,-34.07118897,MBH,102,Y,29/10/2020,Y,31/10/2020,104,1c56a494-5127-4583-9986-073e540c27a4,114.9113721,-34.07118897
114.5163721,-34.10618897,MBH,103,,,,,105,3633696f-cd45-4455-a71e-3c7112101364,114.5163721,-34.10618897
114.5088721,-34.11118897,MBH,104,,,,,106,21bae0b6-d257-4055-82e7-0a564f218fcd,114.5088721,-34.11118897
114.6688721,-34.06368897,MBH,105,Y,23/10/2020,,,107,bdddcf2f-4f78-4b88-84d0-1c6a4eed5d53,114.6688721,-34.06368897
114.6638721,-34.05868897,MBH,106,,,,,108,1ef5b36b-1dd4-4f1f-ade0-b6105540197d,114.6638721,-34.05868897
114.6763721,-34.06368897,MBH,107,Y,23/10/2020,,,109,5f9e0392-08f2-4115-8301-b0005bc46974,114.6763721,-34.06368897
