"campaignid","sample","filename","periodtime","family","genus","species","maxn","dataset","planned.or.exploratory","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","commonwealth.zone","state.zone","raw.hdd.number","con.hdd.number"
"2021-03_West-Coast_BOSS","109","20210310_0737-1601_TOP_0008.mp4","0.84584","SUS","SUS","SUS",1,NA,NA,"-34.0839","114.741","20210310",NA,"West Coast","No-take",NA,"114","Claude","Yes","No",NA,NA,"RAW3","CON1"
"2021-03_West-Coast_BOSS","11","20210310_0737-1601_TOP_0027.mp4","2.12712","Cheilodactylidae","Nemadactylus","valenciennesi",1,NA,NA,"-34.1163","114.775","20210310",NA,"West Coast","No-take",NA,"87.5","Claude","Yes","No",NA,NA,"RAW3","CON1"
"2021-03_West-Coast_BOSS","11","20210310_0737-1601_TOP_0027.mp4","2.62012","Labridae","Coris","auricularis",1,NA,NA,"-34.1163","114.775","20210310",NA,"West Coast","No-take",NA,"87.5","Claude","Yes","No",NA,NA,"RAW3","CON1"
"2021-03_West-Coast_BOSS","11","20210310_0737-1601_TOP_0027.mp4","1.22762","Serranidae","Caesioperca","spp",21,NA,NA,"-34.1163","114.775","20210310",NA,"West Coast","No-take",NA,"87.5","Claude","Yes","No",NA,NA,"RAW3","CON1"
"2021-03_West-Coast_BOSS","110","20210308_0735-1537_TOP_0028.mp4","0.21466","Carangidae","Pseudocaranx","spp",1,NA,NA,"-34.0505","114.907","20210308",NA,"West Coast","No-take",NA,"45","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","110","20210308_0735-1537_TOP_0028.mp4","0.87921","Cheilodactylidae","Dactylophora","nigricans",1,NA,NA,"-34.0505","114.907","20210308",NA,"West Coast","No-take",NA,"45","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","110","20210308_0735-1537_TOP_0028.mp4","0.50968","Labridae","Choerodon","rubescens",1,NA,NA,"-34.0505","114.907","20210308",NA,"West Coast","No-take",NA,"45","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","110","20210308_0735-1537_TOP_0028.mp4","1.10277","Labridae","Coris","auricularis",1,NA,NA,"-34.0505","114.907","20210308",NA,"West Coast","No-take",NA,"45","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","110","20210308_0735-1537_TOP_0028.mp4","2.92181","Labridae","Ophthalmolepis","lineolatus",1,NA,NA,"-34.0505","114.907","20210308",NA,"West Coast","No-take",NA,"45","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","110","20210308_0735-1537_TOP_0028.mp4","0.50968","Labridae","Pseudolabrus","biserialis",4,NA,NA,"-34.0505","114.907","20210308",NA,"West Coast","No-take",NA,"45","Claude","Yes","No",NA,NA,"RAW2","CON1"
