"sample","date","time.bottom","north.image.name","north.points.annotated","east.image.name","east.points.annotated","south.image.name","south.points.annotated","west.image.name","west.points.annotated"
"75",20201031,13:45:35,"75N.jpg",20,"75E.jpg",20,"75S.jpg",20,"75W.jpg",20
"74",20201031,13:55:30,"74N.jpg",20,"74E.jpg",20,"74S.jpg",20,"74W.jpg",20
"73",20201031,14:03:39,"73N.jpg",20,"73E.jpg",20,"73S.jpg",20,"73W.jpg",20
"264",20201031,14:24:30,"264N.jpg",20,"264E.jpg",20,"264S.jpg",20,"264W.jpg",20
"66",20201031,14:33:06,"66N.jpg",20,"66E.jpg",20,"66S.jpg",20,"66W.jpg",20
"339",20201031,14:40:57,"339N.jpg",20,"339E.jpg",20,"339S.jpg",20,"339W.jpg",20
"262",20201031,14:48:37,"262N.jpg",20,"262E.jpg",20,"262S.jpg",20,"262W.jpg",20
"263",20201031,14:57:46,"263N.jpg",20,"263E.jpg",20,"263S.jpg",20,"263W.jpg",20
"278",20201104,07:43:00,"278N.jpg",20,"278E.jpg",20,"278S.jpg",20,"278W.jpg",20
"40",20201104,10:31:33,"40N.jpg",20,"40E.jpg",20,"40S.jpg",20,"40W.jpg",20
"36",20201104,10:42:42,"36N.jpg",20,"36E.jpg",20,"36S.jpg",20,"36W.jpg",20
"37",20201104,10:54:04,"37N.jpg",20,"37E.jpg",20,"37S.jpg",20,"37W.jpg",20
"308",20201104,11:08:18,"308N.jpg",20,"308E.jpg",20,"308S.jpg",20,"308W.jpg",20
"333",20201104,11:20:14,"333N.jpg",20,"333E.jpg",20,"333S.jpg",20,"333W.jpg",20
"307",20201104,12:18:00,"307N.jpg",20,"307E.jpg",20,"307S.jpg",20,"307W.jpg",20
"95",20201104,12:33:38,"95N.jpg",20,"95E.jpg",20,"95S.jpg",20,"95W.jpg",20
"98",20201104,12:50:15,"98N.jpg",20,"98E.jpg",20,"98S.jpg",20,"98W.jpg",20
"110",20201104,13:03:23,"110N.jpg",20,"110E.jpg",20,"110S.jpg",20,"110W.jpg",20
"96",20201104,13:16:25,"96N.jpg",20,"96E.jpg",20,"96S.jpg",20,"96W.jpg",20
"377",20201104,13:36:50,"377N.jpg",20,"377E.jpg",20,"377S.jpg",20,"377W.jpg",20
"59",20201104,13:49:33,"59N.jpg",20,"59E.jpg",20,"59S.jpg",20,"59W.jpg",20
"58",20201104,14:02:50,"58N.jpg",20,"58E.jpg",20,"58S.jpg",20,"58W.jpg",20
"62",20201104,14:13:05,"62N.jpg",20,"62E.jpg",20,"62S.jpg",20,"62W.jpg",20
"297",20201104,14:33:05,"297N.jpg",20,"297E.jpg",20,"297S.jpg",20,"297W.jpg",20
"295",20201104,14:43:23,"295N.jpg",20,"295E.jpg",20,"295S.jpg",20,"295W.jpg",20
"331",20201104,14:53:29,"331N.jpg",20,"331E.jpg",20,"331S.jpg",20,"331W.jpg",20
"313",20201104,15:04:00,"313N.jpg",20,"313E.jpg",20,"313S.jpg",20,"313W.jpg",20
"282",20201107,06:52:16,"282N.jpg",20,"282E.jpg",20,"282S.jpg",20,"282W.jpg",20
"265",20201107,07:07:03,"265N.jpg",20,"265E.jpg",20,"265S.jpg",20,"265W.jpg",20
"340",20201107,07:21:23,"340N.jpg",20,"340E.jpg",20,"340S.jpg",20,"340W.jpg",20
"281",20201107,07:34:00,"281N.jpg",20,"281E.jpg",20,"281S.jpg",20,"281W.jpg",20
"283",20201107,07:44:40,"283N.jpg",20,"283E.jpg",20,"283S.jpg",20,"283W.jpg",20
"342",20201107,08:22:30,"342N.jpg",20,"342E.jpg",20,"342S.jpg",20,"342W.jpg",20
"288",20201107,08:39:29,"288N.jpg",20,"288E.jpg",20,"288S.jpg",20,"288W.jpg",20
"274",20201107,08:51:59,"274N.jpg",20,"274E.jpg",20,"274S.jpg",20,"274W.jpg",20
"287",20201107,09:00:00,NA,NA,NA,NA,NA,NA,NA,NA
"286",20201107,09:13:10,"286N.jpg",20,"286E.jpg",20,"286S.jpg",20,"286W.jpg",20
"285",20201107,09:26:10,"285N.jpg",20,"285E.jpg",20,"285S.jpg",20,"285W.jpg",20
"341",20201107,09:39:17,"341N.jpg",20,"341E.jpg",20,"341S.jpg",20,"341W.jpg",20
"284",20201107,10:33:35,"284N.jpg",20,"284E.jpg",20,"284S.jpg",20,"284W.jpg",20
"321",20201107,10:54:39,"321N.jpg",20,"321E.jpg",20,"321S.jpg",20,"321W.jpg",20
"358",20201107,11:08:35,"358N.jpg",20,"358E.jpg",20,"358S.jpg",20,"358W.jpg",20
"360",20201107,11:22:49,"360N.jpg",20,"360E.jpg",20,"360S.jpg",20,"360W.jpg",20
"248",20201107,11:36:00,"248N.jpg",20,"248E.jpg",20,"248S.jpg",20,"248W.jpg",20
"135",20201107,11:51:47,"135N.jpg",20,"135E.jpg",20,"135S.jpg",20,"135W.jpg",20
"247",20201107,12:03:22,"247N.jpg",20,"247E.jpg",20,"247S.jpg",20,"247W.jpg",20
"136",20201107,12:16:17,"136N.jpg",20,"136E.jpg",20,"136S.jpg",20,"136W.jpg",20
"76",20201107,12:33:47,"76N.jpg",20,"76E.jpg",20,"76S.jpg",20,"76W.jpg",20
"78",20201107,12:49:14,"78N.jpg",20,"78E.jpg",20,"78S.jpg",20,"78W.jpg",20
"63",20201107,13:02:42,"63N.jpg",20,"63E.jpg",20,"63S.jpg",20,"63W.jpg",20
"77",20201107,13:16:24,"77N.jpg",20,"77E.jpg",20,"77S.jpg",20,"77W.jpg",20
"347",20201107,13:44:04,"347N.jpg",20,"347E.jpg",20,"347S.jpg",20,"347W.jpg",20
"322",20201107,13:56:13,"322N.jpg",20,"322E.jpg",20,"322S.jpg",20,"322W.jpg",20
"346",20201107,14:08:00,"346N.jpg",20,"346E.jpg",20,"346S.jpg",20,"346W.jpg",20
"345",20201107,14:17:40,"345N.jpg",20,"345E.jpg",20,"345S.jpg",20,"345W.jpg",20
"49",20201108,07:03:31,"49N.jpg",20,"49E.jpg",20,"49S.jpg",20,"49W.jpg",20
"47",20201108,07:14:14,"47N.jpg",20,"47E.jpg",20,"47S.jpg",20,"47W.jpg",20
"46",20201108,07:25:59,"46N.jpg",20,"46E.jpg",20,"46S.jpg",20,"46W.jpg",20
"290",20201108,07:38:01,"290N.jpg",20,"290E.jpg",20,"290S.jpg",20,"290W.jpg",20
"302",20201108,07:48:30,"302N.jpg",20,"302E.jpg",20,"302S.jpg",20,"302W.jpg",20
"329",20201108,07:59:37,"329N.jpg",20,"329E.jpg",20,"329S.jpg",20,"329W.jpg",20
"117",20201108,08:11:19,"117N.jpg",20,"117E.jpg",20,"117S.jpg",20,"117W.jpg",20
"113",20201108,08:21:39,"113N.jpg",20,"113E.jpg",20,"113S.jpg",20,"113W.jpg",20
"115",20201108,08:31:25,"115N.jpg",20,"115E.jpg",20,"115S.jpg",20,"115W.jpg",20
"4",20201108,08:57:56,"4N.jpg",20,"4E.jpg",20,"4S.jpg",20,"4W.jpg",20
"5",20201108,09:07:02,"5N.jpg",20,"5E.jpg",20,"5S.jpg",20,"5W.jpg",20
"1",20201108,09:18:31,"1N.jpg",20,"1E.jpg",20,"1S.jpg",20,"1W.jpg",20
"3",20201108,09:29:21,"3N.jpg",20,"3E.jpg",20,"3S.jpg",20,"3W.jpg",21
"335",20201108,09:40:59,"335N.jpg",20,"335E.jpg",20,"335S.jpg",20,"335W.jpg",20
"206",20201108,09:49:23,"206N.jpg",20,"206E.jpg",20,"206S.jpg",20,"206W.jpg",20
"204",20201108,09:59:09,"204N.jpg",20,"204E.jpg",20,"204S.jpg",20,"204W.jpg",20
"207",20201108,10:08:10,"207N.jpg",20,"207E.jpg",20,"207S.jpg",20,"207W.jpg",20
"312",20201108,10:20:56,"312N.jpg",20,"312E.jpg",20,"312S.jpg",20,"312W.jpg",20
"334",20201108,10:29:33,"334N.jpg",20,"334E.jpg",20,"334S.jpg",20,"334W.jpg",20
"310",20201108,10:37:49,"310N.jpg",20,"310E.jpg",20,"310S.jpg",20,"310W.jpg",20
"311",20201108,10:47:06,"311N.jpg",20,"311E.jpg",20,"311S.jpg",20,"311W.jpg",20
"327",20201108,11:34:53,"327N.jpg",20,"327E.jpg",20,"327S.jpg",20,"327W.jpg",20
"267",20201108,11:42:58,"267N.jpg",20,"267E.jpg",20,"267S.jpg",20,"267W.jpg",20
"365",20201108,11:54:40,"365N.jpg",20,"365E.jpg",20,"365S.jpg",20,"365W.jpg",20
"266",20201108,12:03:40,"266N.jpg",20,"266E.jpg",20,"266S.jpg",20,"266W.jpg",20
"325",20201108,12:21:33,"325N.jpg",20,"325E.jpg",20,"325S.jpg",20,"325W.jpg",20
"361",20201108,12:30:37,"361N.jpg",20,"361E.jpg",20,"361S.jpg",20,"361W.jpg",20
"374",20201108,12:39:45,"374N.jpg",20,"374E.jpg",20,"374S.jpg",20,"374W.jpg",20
"363",20201108,12:48:25,"363N.jpg",20,"363E.jpg",20,"363S.jpg",20,"363W.jpg",20
"227",20201108,13:05:40,"227N.jpg",20,"227E.jpg",20,"227S.jpg",20,"227W.jpg",20
"229",20201108,13:14:36,"229N.jpg",20,"229E.jpg",20,"229S.jpg",20,"229W.jpg",20
"241",20201108,13:22:31,"241N.jpg",20,"241E.jpg",20,"241S.jpg",20,"241W.jpg",20
"228",20201108,13:32:47,"228N.jpg",20,"228E.jpg",20,"228S.jpg",20,"228W.jpg",20
"278REDO",20201111,07:18:57,"278NREDO.jpg",20,"278EREDO.jpg",20,"278SREDO.jpg",20,"278WREDO.jpg",20
"277",20201111,07:30:06,"277N.jpg",20,"277E.jpg",20,"277S.jpg",20,"277W.jpg",20
"343",20201111,07:41:11,"343N.jpg",20,"343E.jpg",20,"343S.jpg",20,"343W.jpg",20
"276",20201111,07:53:00,"276N.jpg",20,"276E.jpg",20,"276S.jpg",20,"276W.jpg",20
"275",20201111,08:04:11,"275N.jpg",20,"275E.jpg",20,"275S.jpg",20,"275W.jpg",20
"280",20201111,08:20:04,"280N.jpg",20,"280E.jpg",20,"280S.jpg",20,"280W.jpg",20
"344",20201111,08:29:59,"344N.jpg",20,"344E.jpg",20,"344S.jpg",20,"344W.jpg",20
"299",20201111,08:39:36,"299N.jpg",20,"299E.jpg",20,"299S.jpg",20,"299W.jpg",20
"298",20201111,08:50:46,"298N.jpg",20,"298E.jpg",20,"298S.jpg",20,"298W.jpg",20
"352",20201111,09:22:42,"352N.jpg",20,"352E.jpg",20,"352S.jpg",20,"352W.jpg",20
"323",20201111,09:33:24,"323N.jpg",20,"323E.jpg",20,"323S.jpg",20,"323W.jpg",20
"351",20201111,09:43:30,"351N.jpg",20,"351E.jpg",20,"351S.jpg",20,"351W.jpg",20
"369",20201111,09:54:08,"369N.jpg",20,"369E.jpg",20,"369S.jpg",20,"369W.jpg",20
"349",20201111,10:05:20,"349N.jpg",20,"349E.jpg",20,"349S.jpg",20,"349W.jpg",20
"350",20201111,10:15:42,"350N.jpg",20,"350E.jpg",20,"350S.jpg",20,"350W.jpg",20
"372",20201111,10:56:54,"372N.jpg",20,"372E.jpg",20,"372S.jpg",20,"372W.jpg",20
"324",20201111,11:09:27,"324N.jpg",20,"324E.jpg",20,"324S.jpg",20,"324W.jpg",20
"378",20201111,11:19:31,"378N.jpg",20,"378E.jpg",20,"378S.jpg",20,"378W.jpg",20
"370",20201111,11:29:48,"370N.jpg",20,"370E.jpg",20,"370S.jpg",20,"370W.jpg",20
